[ExifTool, ExifTool, ExifTool]  - ExifTool Version Number: 4.51
[File, File, Image]  - File Name: CanonRaw_4_failed.crw
[File, File, Image]  - File Size: 6KB
[File, File, Image]  - File Type: Canon RAW
[MakerNotes, CanonRaw, Camera] 8197 - Raw Data: (Binary data 22 bytes)
[MakerNotes, CanonRaw, Camera] 8199 - Jpg From Raw: (Binary data 16 bytes)
[MakerNotes, CanonRaw, Image] 0 - File Format: CRW
[MakerNotes, CanonRaw, Image] 1 - Target Compression Ratio: 10
[MakerNotes, CanonRaw, Image] 0 - Image Width: 3072
[MakerNotes, CanonRaw, Image] 1 - Image Height: 2048
[MakerNotes, CanonRaw, Image] 2 - Pixel Aspect Ratio: 1
[MakerNotes, CanonRaw, Image] 3 - Rotation: 0
[MakerNotes, CanonRaw, Image] 4 - Component Bit Depth: 8
[MakerNotes, CanonRaw, Image] 5 - Color Bit Depth: 24
[MakerNotes, CanonRaw, Image] 6 - Color BW: 257
[MakerNotes, CanonRaw, Camera] 4106 - Target Image Type: 0
[MakerNotes, CanonRaw, Camera] 6148 - Record ID: 0
[MakerNotes, CanonRaw, Image] 6167 - File Number: 118-1861
[MakerNotes, CanonRaw, Time] 0 - Shooting Date/Time: 2003:12:04 06:46:52
[MakerNotes, CanonRaw, Time] 1 - Time Zone Code: 0
[MakerNotes, CanonRaw, Time] 2 - Time Zone Info: 0
[MakerNotes, CanonRaw, Camera] 2070 - Original File Name: CRW_1602.CRW
[MakerNotes, CanonRaw, Camera] 2071 - Thumbnail File Name: CRW_1602.THM
[MakerNotes, CanonRaw, Camera] 2053 - User Comment: 
[MakerNotes, CanonRaw, Camera] 6164 - Measured EV: -0.375
[MakerNotes, CanonRaw, Camera] 2053 - Canon File Description: EOS DIGITAL REBEL CMOS RAW
[MakerNotes, CanonRaw, Camera] 2069 - Canon Image Type: CRW:EOS DIGITAL REBEL CMOS RAW
[MakerNotes, CanonRaw, Camera] 2064 - Owner's Name: Phil Harvey
[MakerNotes, CanonRaw, Camera] 0 - Make: Canon
[MakerNotes, CanonRaw, Camera] 6 - Camera Model Name: Canon EOS DIGITAL REBEL
[MakerNotes, CanonRaw, Camera] 6155 - Camera Body No.: 0000001234
[MakerNotes, CanonRaw, Camera] 4124 - Base ISO: 100
[MakerNotes, CanonRaw, Camera] 2061 - ROM Operation Mode: CDN
[MakerNotes, CanonRaw, Camera] 2059 - Canon Firmware Version: Firmware Version 1.1.1
[MakerNotes, Canon, Image] 1 - Focal Length: 34mm
[MakerNotes, Canon, Image] 2 - Focal Plane X Size: 35.00mm
[MakerNotes, Canon, Image] 3 - Focal Plane Y Size: 15.49mm
[MakerNotes, Canon, Image] 2 - ISO Speed: 100
[MakerNotes, Canon, Image] 6 - Exposure Compensation: 0
[MakerNotes, Canon, Image] 7 - White Balance: Auto
[MakerNotes, Canon, Image] 9 - Shot Number In Continuous Burst: 0
[MakerNotes, Canon, Image] 14 - Ixus AF Point: Unknown (0)
