[ExifTool, ExifTool, ExifTool]  - ExifTool Version Number: 6.55
[File, File, Image]  - File Name: CanonVRD_3_failed.vrd
[File, File, Image]  - Directory: t
[File, File, Image]  - File Size: 1768 bytes
[File, File, Time]  - File Modification Date/Time: 2006:10:30 11:54:58
[File, File, Image]  - File Type: VRD
[File, File, Image]  - MIME Type: application/unknown
[CanonVRD, CanonVRD, Image] 2 - VRD Version: 2.00
[CanonVRD, CanonVRD, Image] 8 - WB Adj RGB Levels: 0 0 0
[CanonVRD, CanonVRD, Image] 24 - White Balance Adj: Shot Settings
[CanonVRD, CanonVRD, Image] 26 - WB Adj Color Temp: 5600
[CanonVRD, CanonVRD, Image] 36 - WB Fine Tune Active: No
[CanonVRD, CanonVRD, Image] 40 - WB Fine Tune Saturation: 0
[CanonVRD, CanonVRD, Image] 44 - WB Fine Tune Tone: 0
[CanonVRD, CanonVRD, Image] 46 - Raw Color Adj: Shot Settings
[CanonVRD, CanonVRD, Image] 48 - Raw Custom Saturation: 0
[CanonVRD, CanonVRD, Image] 52 - Raw Custom Tone: 0
[CanonVRD, CanonVRD, Image] 56 - Raw Brightness Adj: 0.00
[CanonVRD, CanonVRD, Image] 60 - Tone Curve Property: Shot Settings
[CanonVRD, CanonVRD, Image] 122 - Dynamic Range Min: 0
[CanonVRD, CanonVRD, Image] 124 - Dynamic Range Max: 4095
[CanonVRD, CanonVRD, Image] 272 - Tone Curve Active: No
[CanonVRD, CanonVRD, Image] 276 - Brightness Adj: 0
[CanonVRD, CanonVRD, Image] 277 - Contrast Adj: 0
[CanonVRD, CanonVRD, Image] 278 - Saturation Adj: 100
[CanonVRD, CanonVRD, Image] 286 - Color Tone Adj: 0
[CanonVRD, CanonVRD, Image] 352 - Red Curve Points: (0,0) (255,255)
[CanonVRD, CanonVRD, Image] 394 - Red Curve Limits: 255 0 255 0
[CanonVRD, CanonVRD, Image] 410 - Green Curve Points: (0,0) (255,255)
[CanonVRD, CanonVRD, Image] 452 - Green Curve Limits: 255 0 255 0
[CanonVRD, CanonVRD, Image] 468 - Blue Curve Points: (0,0) (255,255)
[CanonVRD, CanonVRD, Image] 510 - Blue Curve Limits: 255 0 255 0
[CanonVRD, CanonVRD, Image] 526 - RGB Curve Points: (0,0) (255,255)
[CanonVRD, CanonVRD, Image] 568 - RGB Curve Limits: 255 0 255 0
[CanonVRD, CanonVRD, Image] 580 - Crop Active: No
[CanonVRD, CanonVRD, Image] 582 - Crop Left: 438
[CanonVRD, CanonVRD, Image] 584 - Crop Top: 618
[CanonVRD, CanonVRD, Image] 586 - Crop Width: 0
[CanonVRD, CanonVRD, Image] 588 - Crop Height: 0
[CanonVRD, CanonVRD, Image] 608 - Crop Aspect Ratio: Free
[CanonVRD, CanonVRD, Image] 610 - Constrained Crop Width: 0
[CanonVRD, CanonVRD, Image] 614 - Constrained Crop Height: 0
[CanonVRD, CanonVRD, Image] 618 - Check Mark: Clear
[CanonVRD, CanonVRD, Image] 622 - Rotation: 0
[CanonVRD, CanonVRD, Image] 624 - Work Color Space: sRGB
[CanonVRD, CanonVRD, Image] 634 - Picture Style: Standard
[CanonVRD, CanonVRD, Image] 656 - Raw Color Tone Adj: -4
[CanonVRD, CanonVRD, Image] 658 - Raw Saturation Adj: 0
[CanonVRD, CanonVRD, Image] 660 - Raw Contrast Adj: 0
[CanonVRD, CanonVRD, Image] 662 - Raw Linear: No
[CanonVRD, CanonVRD, Image] 664 - Raw Sharpness Adj: 1
[CanonVRD, CanonVRD, Image] 666 - Raw Highlight Point: 4095
[CanonVRD, CanonVRD, Image] 668 - Raw Shadow Point: 0
[CanonVRD, CanonVRD, Image] 746 - Monochrome Filter Effect: Yellow
[CanonVRD, CanonVRD, Image] 748 - Monochrome Toning Effect: Purple
[CanonVRD, CanonVRD, Image] 750 - Monochrome Contrast: 3
[CanonVRD, CanonVRD, Image] 752 - Monochrome Linear: No
[CanonVRD, CanonVRD, Image] 754 - Monochrome Sharpness: 4
