[ExifTool, ExifTool, ExifTool]  - ExifTool Version Number: 7.50
[File, File, Image]  - File Name: IPTC-XMP_31_failed.jpg
[File, File, Image]  - Directory: t
[File, File, Image]  - File Size: 3.2 kB
[File, File, Time]  - File Modification Date/Time: 2008:10:25 13:16:35-04:00
[File, File, Image]  - File Type: JPEG
[File, File, Image]  - MIME Type: image/jpeg
[File, File, Image] ImageWidth - Image Width: 8
[File, File, Image] ImageHeight - Image Height: 8
[File, File, Image] EncodingProcess - Encoding Process: Baseline DCT, Huffman coding
[File, File, Image] BitsPerSample - Bits Per Sample: 8
[File, File, Image] ColorComponents - Color Components: 3
[File, File, Image] YCbCrSubSampling - Y Cb Cr Sub Sampling: YCbCr4:2:0 (2 2)
[XMP, XMP-x, Document] xmptk - XMP Toolkit: Image::ExifTool 7.50
[XMP, XMP-pdf, Author] Author - Author: Test
[XMP, XMP-pdf, Time] CreationDate - Creation Date: 2008:10:20 19:54:15
[XMP, XMP-pdf, Author] Creator - Creator: Guess Who
[XMP, XMP-pdf, Time] ModDate - Mod Date: 2008:10:20 19:54:15
[XMP, XMP-pdf, Author] Producer - Producer: Just ExifTool again
[XMP, XMP-pdf, Image] Title - Title: PDF Title
[Composite, Composite, Image]  - Image Size: 8x8
