[ExifTool, ExifTool, ExifTool]  - ExifTool Version Number: 5.53
[File, File, Image]  - File Name: Kodak.jpg
[File, File, Image]  - Directory: t
[File, File, Image]  - File Size: 3KB
[File, File, Time]  - File Modification Date/Time: 2005:05:25 13:40:58
[File, File, Image]  - File Type: JPEG
[File, File, Image]  - Mime Type: image/jpeg
[File, File, Image]  - Image Width: 160
[File, File, Image]  - Image Height: 120
[EXIF, IFD0, Camera] 271 - Make: EASTMAN KODAK COMPANY
[EXIF, IFD0, Camera] 272 - Camera Model Name: KODAK DX4900 ZOOM DIGITAL CAMERA
[EXIF, IFD0, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD0, Image] 282 - X Resolution: 230
[EXIF, IFD0, Image] 283 - Y Resolution: 230
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Centered
[EXIF, ExifIFD, Image] 33434 - Shutter Speed: 1/180
[EXIF, ExifIFD, Image] 33437 - Aperture: 6.7
[EXIF, ExifIFD, Camera] 34850 - Exposure Program: Program AE
[EXIF, ExifIFD, Image] 36864 - Exif Version: 0210
[EXIF, ExifIFD, Time] 36867 - Shooting Date/Time: 2002:05:01 10:22:28
[EXIF, ExifIFD, Time] 36868 - Date/Time Of Digitization: 2002:05:01 10:22:28
[EXIF, ExifIFD, Image] 37121 - Components Configuration: YCbCr
[EXIF, ExifIFD, Image] 37377 - Shutter Speed Value: 1/181
[EXIF, ExifIFD, Image] 37378 - Aperture Value: 6.7
[EXIF, ExifIFD, Image] 37380 - Exposure Compensation: 0
[EXIF, ExifIFD, Camera] 37381 - Max Aperture Value: 3.1
[EXIF, ExifIFD, Camera] 37383 - Metering Mode: Average
[EXIF, ExifIFD, Camera] 37384 - Light Source: Unknown (0)
[EXIF, ExifIFD, Camera] 37385 - Flash: No Flash
[EXIF, ExifIFD, Camera] 37386 - Focal Length: 10.2mm
[EXIF, ExifIFD, Image] 40960 - Flashpix Version: 0100
[EXIF, ExifIFD, Image] 40961 - Color Space: sRGB
[EXIF, ExifIFD, Image] 40962 - Exif Image Width: 2448
[EXIF, ExifIFD, Image] 40963 - Exif Image Length: 1632
[EXIF, InteropIFD, Image] 1 - Interoperability Index: R98
[EXIF, InteropIFD, Image] 2 - Interoperability Version: 0100
[EXIF, ExifIFD, Image] 41493 - Exposure Index: 100
[EXIF, ExifIFD, Camera] 41495 - Sensing Method: One-chip color area
[EXIF, ExifIFD, Image] 41728 - File Source: Digital Camera
[EXIF, ExifIFD, Image] 41729 - Scene Type: Directly photographed
[EXIF, IFD1, Image] 259 - Compression: JPEG (old-style)
[EXIF, IFD1, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD1, Image] 282 - X Resolution: 72
[EXIF, IFD1, Image] 283 - Y Resolution: 72
[EXIF, IFD1, Image] 296 - Resolution Unit: inches
[EXIF, IFD1, Image] 513 - Thumbnail Offset: 1664
[EXIF, IFD1, Image] 514 - Thumbnail Length: 28
[MakerNotes, Kodak, Camera] 0 - Kodak Model: DX4900  
[MakerNotes, Kodak, Camera] 9 - Quality: Fine
[MakerNotes, Kodak, Camera] 10 - Burst Mode: Off
[MakerNotes, Kodak, Camera] 12 - Kodak Image Width: 2448
[MakerNotes, Kodak, Camera] 14 - Kodak Image Height: 1632
[MakerNotes, Kodak, Camera] 16 - Date: 2002:05:01
[MakerNotes, Kodak, Camera] 20 - Time: 10:22:28.62
[MakerNotes, Kodak, Camera] 27 - Shutter Mode: Auto
[MakerNotes, Kodak, Camera] 28 - Metering Mode: Multi-pattern
[MakerNotes, Kodak, Camera] 29 - Sequence Number: 0
[MakerNotes, Kodak, Camera] 30 - Aperture: 6.73
[MakerNotes, Kodak, Camera] 32 - Shutter Speed: 1/216
[MakerNotes, Kodak, Camera] 36 - Exposure Compensation: 0
[MakerNotes, Kodak, Camera] 56 - Focus Mode: Normal
[MakerNotes, Kodak, Camera] 64 - White Balance: Auto
[MakerNotes, Kodak, Camera] 92 - Flash Mode: Auto
[MakerNotes, Kodak, Camera] 93 - Flash Fired: No
[MakerNotes, Kodak, Camera] 94 - ISO Setting: Auto
[MakerNotes, Kodak, Camera] 96 - ISO Speed: 108
[MakerNotes, Kodak, Camera] 98 - Total Zoom: 1.4
[MakerNotes, Kodak, Camera] 100 - Date Time Stamp: Off
[MakerNotes, Kodak, Camera] 102 - Color Mode: Saturated Color
[MakerNotes, Kodak, Camera] 104 - Digital Zoom: 1
[MakerNotes, Kodak, Camera] 107 - Sharpness: Normal
[Composite, Composite, Image]  - Aperture: 6.7
[Composite, Composite, Image]  - Image Size: 160x120
[Composite, Composite, Image]  - Shutter Speed: 1/216
[Composite, Composite, Image]  - Thumbnail Image: (Binary data 28 bytes)
[Composite, Composite, Camera]  - Focal Length: 10.2mm
