[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 7.98
[File, System, Image] FileName - File Name: M2TS.mts
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 1344 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2009:07:08 13:43:13-04:00
[File, File, Image] FileType - File Type: M2TS
[File, File, Image] MIMEType - MIME Type: video/m2ts
[M2TS, M2TS, Video] VideoStreamType - Video Stream Type: H.264 Video
[M2TS, M2TS, Video] AudioStreamType - Audio Stream Type: A52/AC-3 Audio
[M2TS, AC3, Audio] AudioBitrate - Audio Bitrate: 256000
[M2TS, AC3, Audio] SurroundMode - Surround Mode: Not indicated
[M2TS, AC3, Audio] AudioChannels - Audio Channels: 2
[M2TS, H264, Video] ImageWidth - Image Width: 1920
[M2TS, H264, Video] ImageHeight - Image Height: 1080
[M2TS, H264, Time] DateTimeOriginal - Date/Time Original: 2008:12:31 23:16:24
[M2TS, AC3, Audio] AudioSampleRate - Audio Sample Rate: 48000
[Composite, Composite, Image] ImageSize - Image Size: 1920x1080
