[ExifTool, ExifTool, ExifTool]  - ExifTool Version Number: 5.76
[File, File, Image]  - File Name: MP3.mp3
[File, File, Image]  - Directory: t/images
[File, File, Image]  - File Size: 391 bytes
[File, File, Time]  - File Modification Date/Time: 2005:09:14 17:39:02
[File, File, Image]  - File Type: MP3
[File, File, Image]  - MIME Type: audio/mpeg
[ID3, ID3v2_2, Audio] TRK - Track: 1/5
[ID3, ID3v2_2, Audio] TPA - Part Of Set: 1/2
[ID3, ID3v2_2, Audio] ULT - Lyrics: Do-wap she-bang
[ID3, ID3v2_2, Audio] PIC - Picture: (Binary data 15 bytes)
[ID3, ID3v2_2, Audio] TT2 - Title: ExifTool Test
[ID3, ID3v2_2, Author] TP1 - Artist: Phil Harvey
[ID3, ID3v2_2, Audio] TCM - Composer: A Composer
[ID3, ID3v2_2, Audio] TAL - Album: Phil's Greatest Hits
[ID3, ID3v2_2, Audio] TT1 - Grouping: This group
[ID3, ID3v2_2, Time] TYE - Year: 2005
[ID3, ID3v2_2, Audio] TCO - Genre: Testing
[ID3, ID3v2_2, Audio] COM - Comment: My Comments
[ID3, ID3v1, Audio] 3 - Title: Title
[ID3, ID3v1, Author] 33 - Artist: Artist
[ID3, ID3v1, Audio] 63 - Album: Album
[ID3, ID3v1, Time] 93 - Year: 2003
[ID3, ID3v1, Audio] 97 - Comment: Comment
[ID3, ID3v1, Audio] 127 - Genre: Hip-Hop
