[ExifTool, ExifTool, ExifTool]  - ExifTool Version Number: 5.64
[File, File, Image]  - File Name: Nikon_4_failed.jpg
[File, File, Image]  - Directory: t
[File, File, Image]  - File Size: 6 kB
[File, File, Time]  - File Modification Date/Time: 2005:01:31 11:57:40
[File, File, Image]  - File Type: JPEG
[File, File, Image]  - MIME Type: image/jpeg
[File, File, Image]  - Image Width: 16
[File, File, Image]  - Image Height: 16
[EXIF, IFD0, Camera] 271 - Make: NIKON CORPORATION
[EXIF, IFD0, Camera] 272 - Camera Model Name: NIKON D70
[EXIF, IFD0, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD0, Image] 282 - X Resolution: 300
[EXIF, IFD0, Image] 283 - Y Resolution: 300
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Image] 305 - Software: Ver.1.02 
[EXIF, IFD0, Time] 306 - Date/Time Of Last Modification: 2005:01:14 08:57:59
[EXIF, IFD0, Camera] 318 - White Point: 0.313 0.329
[EXIF, IFD0, Image] 319 - Primary Chromaticities: 0.64 0.33 0.21 0.71 0.15 0.06
[EXIF, IFD0, Image] 529 - Y Cb Cr Coefficients: 0.299 0.587 0.114
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Co-sited
[EXIF, ExifIFD, Image] 33434 - Shutter Speed: 1/60
[EXIF, ExifIFD, Image] 33437 - Aperture: 5.0
[EXIF, ExifIFD, Camera] 34850 - Exposure Program: Aperture-priority AE
[EXIF, ExifIFD, Image] 34855 - ISO Speed: 200
[EXIF, ExifIFD, Image] 36864 - Exif Version: 0221
[EXIF, ExifIFD, Time] 36867 - Shooting Date/Time: 2005:01:14 08:57:59
[EXIF, ExifIFD, Time] 36868 - Date/Time Of Digitization: 2005:01:14 08:57:59
[EXIF, ExifIFD, Image] 37121 - Components Configuration: YCbCr
[EXIF, ExifIFD, Image] 37122 - Compressed Bits Per Pixel: 4
[EXIF, ExifIFD, Image] 37380 - Exposure Compensation: 0
[EXIF, ExifIFD, Camera] 37381 - Max Aperture Value: 4.4
