[ExifTool, ExifTool, ExifTool]  - ExifTool Version Number: 6.57
[File, File, Image]  - File Name: Olympus.jpg
[File, File, Image]  - Directory: t/images
[File, File, Image]  - File Size: 1573 bytes
[File, File, Time]  - File Modification Date/Time: 2006:01:04 14:02:27
[File, File, Image]  - File Type: JPEG
[File, File, Image]  - MIME Type: image/jpeg
[File, File, Image]  - Image Width: 8
[File, File, Image]  - Image Height: 8
[EXIF, IFD0, Image] 270 - Image Description: OLYMPUS DIGITAL CAMERA         
[EXIF, IFD0, Camera] 271 - Make: OLYMPUS OPTICAL CO.,LTD
[EXIF, IFD0, Camera] 272 - Camera Model Name: C2000Z
[EXIF, IFD0, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD0, Image] 282 - X Resolution: 72
[EXIF, IFD0, Image] 283 - Y Resolution: 72
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Image] 305 - Software: v951p-80
[EXIF, IFD0, Time] 306 - Modify Date: 1999:12:06 16:38:40
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Co-sited
[EXIF, ExifIFD, Image] 33434 - Exposure Time: 1/30
[EXIF, ExifIFD, Image] 33437 - F Number: 2.0
[EXIF, ExifIFD, Camera] 34850 - Exposure Program: Program AE
[EXIF, ExifIFD, Image] 34855 - ISO: 100
[EXIF, ExifIFD, Image] 36864 - Exif Version: 0210
[EXIF, ExifIFD, Time] 36867 - Date/Time Original: 1999:12:06 16:38:40
[EXIF, ExifIFD, Time] 36868 - Create Date: 1999:12:06 16:38:40
[EXIF, ExifIFD, Image] 37121 - Components Configuration: YCbCr
[EXIF, ExifIFD, Image] 37122 - Compressed Bits Per Pixel: 1
[EXIF, ExifIFD, Image] 37380 - Exposure Compensation: 0
[EXIF, ExifIFD, Camera] 37381 - Max Aperture Value: 2.8
[EXIF, ExifIFD, Camera] 37383 - Metering Mode: Multi-segment
[EXIF, ExifIFD, Camera] 37384 - Light Source: Unknown (0)
[EXIF, ExifIFD, Camera] 37385 - Flash: Fired
[EXIF, ExifIFD, Camera] 37386 - Focal Length: 7.0mm
[EXIF, ExifIFD, Image] 37510 - User Comment: 
[EXIF, ExifIFD, Image] 40960 - Flashpix Version: 0100
[EXIF, ExifIFD, Image] 40961 - Color Space: sRGB
[EXIF, ExifIFD, Image] 40962 - Exif Image Width: 640
[EXIF, ExifIFD, Image] 40963 - Exif Image Length: 480
[EXIF, InteropIFD, Image] 1 - Interoperability Index: R98 - DCF basic file (sRGB)
[EXIF, InteropIFD, Image] 2 - Interoperability Version: 0100
[EXIF, ExifIFD, Image] 41728 - File Source: Digital Camera
[EXIF, ExifIFD, Image] 41729 - Scene Type: Directly photographed
[EXIF, IFD1, Image] 259 - Compression: JPEG (old-style)
[EXIF, IFD1, Image] 282 - X Resolution: 72
[EXIF, IFD1, Image] 283 - Y Resolution: 72
[EXIF, IFD1, Image] 296 - Resolution Unit: inches
[EXIF, IFD1, Image] 513 - Thumbnail Offset: 1296
[EXIF, IFD1, Image] 514 - Thumbnail Length: 28
[MakerNotes, Olympus, Camera] 512 - Special Mode: Normal, Sequence: 0, Panorama: (none)
[MakerNotes, Olympus, Camera] 513 - Quality: SQ (Low)
[MakerNotes, Olympus, Camera] 514 - Macro: Off
[MakerNotes, Olympus, Camera] 515 - Black & White Mode: Off
[MakerNotes, Olympus, Camera] 516 - Digital Zoom: 0.0
[MakerNotes, Olympus, Camera] 517 - Focal Plane Diagonal: 7.8 mm
[MakerNotes, Olympus, Camera] 518 - Lens Distortion Params: -215 -388 -418 -185 -310 -314
[MakerNotes, Olympus, Camera] 519 - Camera Type: SR951
[MakerNotes, Olympus, Image] Resolution - Resolution: 1
[MakerNotes, Olympus, Camera] Type - Camera Type: SR951
[MakerNotes, Olympus, Camera] 521 - Camera ID: OLYMPUS DIGITAL CAMERA
[MakerNotes, Olympus, Camera] 3840 - Data Dump: (Binary data 186 bytes)
[Composite, Composite, Image]  - Aperture: 2.0
[Composite, Composite, Image]  - Image Size: 8x8
[Composite, Composite, Camera]  - Scale Factor To 35mm Equivalent: 5.5
[Composite, Composite, Image]  - Shutter Speed: 1/30
[Composite, Composite, Image]  - Thumbnail Image: (Binary data 28 bytes)
[Composite, Composite, Image]  - Circle Of Confusion: 0.005 mm
[Composite, Composite, Camera]  - Focal Length: 7.0mm (35mm equivalent: 38.8mm)
[Composite, Composite, Image]  - Hyperfocal Distance: 4.52 m
[Composite, Composite, Image]  - Light Value: 6.9
