[ExifTool, ExifTool, ExifTool]  - ExifTool Version Number: 5.64
[File, File, Image]  - File Name: PNG.png
[File, File, Image]  - Directory: t
[File, File, Image]  - File Size: 117 bytes
[File, File, Time]  - File Modification Date/Time: 2005:06:13 16:45:39
[File, File, Image]  - File Type: PNG
[File, File, Image]  - MIME Type: image/png
[PNG, PNG, Image] 0 - Image Width: 16
[PNG, PNG, Image] 4 - Image Height: 16
[PNG, PNG, Image] 8 - Bit Depth: 1
[PNG, PNG, Image] 9 - Color Type: Grayscale
[PNG, PNG, Image] 10 - Compression: Deflate/Inflate
[PNG, PNG, Image] 11 - Filter: Adaptive
[PNG, PNG, Image] 12 - Interlace: Noninterlaced
[PNG, PNG, Image] bKGD - Background Color: 0
[PNG, PNG, Image] Comment - Comment: test comment
[Composite, Composite, Image]  - Image Size: 16x16
