[ExifTool, ExifTool, ExifTool]  - ExifTool Version Number: 4.30
[File, File, Image]  - File Name: Pentax_3_failed.jpg
[File, File, Image]  - File Size: 2KB
[File, File, Image]  - File Type: JPEG
[File, File, Image]  - Image Width: 160
[File, File, Image]  - Image Height: 120
[EXIF, IFD0, Camera] 271 - Make: PENTAX Corporation 
[EXIF, IFD0, Camera] 272 - Camera Model Name: PENTAX Optio S 
[EXIF, IFD0, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD0, Image] 282 - X Resolution: 72
[EXIF, IFD0, Image] 283 - Y Resolution: 72
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Image] 305 - Software: Optio S V1.00    
[EXIF, IFD0, Time] 306 - Date/Time Of Last Modification: 2003:03:06 13:09:25
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Centered
[EXIF, ExifIFD, Image] 33434 - Shutter Speed: 1/500
[EXIF, ExifIFD, Image] 33437 - Aperture: 5.6
[EXIF, ExifIFD, Camera] 34850 - Exposure Program: Program AE
[EXIF, ExifIFD, Image] 36864 - Exif Version: 0220
[EXIF, ExifIFD, Time] 36867 - Shooting Date/Time: 2003:03:06 13:09:25
[EXIF, ExifIFD, Time] 36868 - Date/Time Of Digitization: 2003:03:06 13:09:25
[EXIF, ExifIFD, Image] 37121 - Components Configuration: YCbCr
[EXIF, ExifIFD, Image] 37122 - Compressed Bits Per Pixel: 0.358073
[EXIF, ExifIFD, Image] 37380 - Exposure Compensation: 0
[EXIF, ExifIFD, Camera] 37381 - Max Aperture Value: 2.6
[EXIF, ExifIFD, Camera] 37383 - Metering Mode: Multi-segment
[EXIF, ExifIFD, Camera] 37384 - Light Source: Unknown (0)
[EXIF, ExifIFD, Camera] 37385 - Flash: Off
[EXIF, ExifIFD, Camera] 37386 - Focal Length: 10.2mm
[EXIF, ExifIFD, Image] 40960 - Flashpix Version: 0100
[EXIF, ExifIFD, Image] 40961 - Color Space: sRGB
[EXIF, ExifIFD, Image] 40962 - Exif Image Width: 2048
[EXIF, ExifIFD, Image] 40963 - Exif Image Length: 1536
[EXIF, InteropIFD, Image] 1 - Interoperability Index: R98
[EXIF, InteropIFD, Image] 2 - Interoperability Version: 0100
[EXIF, ExifIFD, Image] 41728 - File Source: Digital Camera
